distance_km,weather,day_of_week,time_of_day,train_type,delay_min,congestion,train_no
590.0,Foggy,Monday,Morning,Express,162.6,High,10103
590.0,Foggy,Tuesday,Evening,Express,73.3,High,10103
590.0,Clear,Saturday,Afternoon,Express,110.4,High,10103
594.0,Clear,Monday,Late Night,Express,95.8,High,10104
594.0,Foggy,Monday,Night,Express,52.7,High,10104
594.0,Clear,Tuesday,Morning,Express,43.2,High,10104
841.0,Clear,Friday,Late Night,Express,126.9,High,1011
841.0,Clear,Tuesday,Late Night,Express,65.3,High,1011
841.0,Foggy,Thursday,Late Night,Express,28.4,Medium,1011
590.0,Clear,Friday,Night,Express,85.9,High,10111
590.0,Rainy,Sunday,Morning,Express,46.6,High,10111
590.0,Clear,Wednesday,Night,Express,19.1,Medium,10111
594.0,Rainy,Tuesday,Afternoon,Express,81.1,High,10112
594.0,Rainy,Monday,Morning,Express,0.0,Low,10112
594.0,Rainy,Wednesday,Morning,Express,0.0,Low,10112
726.0,Rainy,Wednesday,Late Night,Express,16.7,Medium,10215
726.0,Clear,Friday,Night,Express,0.0,Low,10215
726.0,Clear,Monday,Night,Express,64.2,High,10215
727.0,Foggy,Sunday,Evening,Express,0.0,Low,10216
727.0,Foggy,Sunday,Late Night,Express,0.0,Low,10216
727.0,Rainy,Tuesday,Late Night,Express,125.1,High,10216
513.0,Foggy,Monday,Morning,Express,74.7,High,1037
513.0,Foggy,Sunday,Afternoon,Express,91.0,High,1037
513.0,Rainy,Sunday,Morning,Express,0.0,Low,1037
503.0,Clear,Thursday,Morning,Express,23.7,Medium,1038
503.0,Rainy,Saturday,Night,Express,87.1,High,1038
503.0,Rainy,Wednesday,Afternoon,Express,0.0,Low,1038
563.0,Rainy,Saturday,Afternoon,Express,125.7,High,1045
563.0,Rainy,Friday,Morning,Express,33.3,Medium,1045
563.0,Foggy,Friday,Afternoon,Express,62.2,High,1045
78.0,Foggy,Tuesday,Afternoon,Express,18.2,Medium,107
78.0,Rainy,Wednesday,Night,Express,142.8,High,107
78.0,Foggy,Tuesday,Late Night,Express,40.1,High,107
83.0,Foggy,Sunday,Evening,Express,0.0,Low,108
83.0,Clear,Sunday,Afternoon,Express,84.9,High,108
83.0,Clear,Thursday,Evening,Express,0.0,Low,108
348.0,Rainy,Tuesday,Morning,Express,92.6,High,11001
348.0,Foggy,Tuesday,Evening,Express,0.0,Low,11001
348.0,Foggy,Thursday,Night,Express,0.0,Low,11001
348.0,Foggy,Tuesday,Night,Express,72.5,High,11002
348.0,Rainy,Tuesday,Afternoon,Express,106.1,High,11002
348.0,Foggy,Friday,Late Night,Express,71.5,High,11002
502.0,Rainy,Thursday,Late Night,Express,41.0,High,11003
502.0,Foggy,Wednesday,Night,Express,41.4,High,11003
502.0,Clear,Friday,Afternoon,Express,0.0,Low,11003
504.0,Rainy,Sunday,Morning,Express,17.0,Medium,11004
504.0,Clear,Tuesday,Morning,Express,27.0,Medium,11004
504.0,Foggy,Sunday,Afternoon,Express,185.8,High,11004
1636.0,Foggy,Friday,Night,Express,165.9,High,11005
1636.0,Clear,Thursday,Night,Express,0.0,Low,11005
1636.0,Foggy,Friday,Night,Express,163.2,High,11005
1639.0,Rainy,Sunday,Late Night,Express,41.9,High,11006
1639.0,Clear,Saturday,Morning,Express,26.2,Medium,11006
1639.0,Foggy,Sunday,Evening,Express,249.3,High,11006
191.0,Foggy,Monday,Evening,Express,176.4,High,11007
191.0,Rainy,Tuesday,Night,Express,99.7,High,11007
191.0,Rainy,Saturday,Morning,Express,4.0,Low,11007
191.0,Foggy,Friday,Evening,Express,61.9,High,11008
191.0,Clear,Monday,Late Night,Express,40.7,High,11008
191.0,Foggy,Sunday,Evening,Express,186.8,High,11008
191.0,Foggy,Friday,Late Night,Express,25.3,Medium,11009
191.0,Clear,Wednesday,Afternoon,Express,30.2,Medium,11009
191.0,Clear,Sunday,Late Night,Express,0.0,Low,11009
191.0,Foggy,Friday,Morning,Express,0.0,Low,11010
191.0,Rainy,Monday,Night,Express,102.5,High,11010
191.0,Clear,Sunday,Evening,Express,140.8,High,11010
723.0,Rainy,Monday,Afternoon,Express,67.3,High,11011
723.0,Clear,Monday,Late Night,Express,78.8,High,11011
723.0,Clear,Sunday,Night,Express,72.7,High,11011
723.0,Clear,Sunday,Late Night,Express,10.5,Low,11012
723.0,Clear,Saturday,Afternoon,Express,94.3,High,11012
723.0,Rainy,Tuesday,Late Night,Express,128.8,High,11012
1515.0,Rainy,Sunday,Late Night,Express,69.4,High,11013
1515.0,Foggy,Tuesday,Night,Express,247.0,High,11013
1515.0,Foggy,Saturday,Afternoon,Express,0.0,Low,11013
1515.0,Rainy,Saturday,Night,Express,210.4,High,11014
1515.0,Foggy,Thursday,Evening,Express,142.8,High,11014
1515.0,Foggy,Monday,Night,Express,64.1,High,11014
1678.0,Clear,Monday,Afternoon,Express,78.2,High,11015
1678.0,Rainy,Friday,Morning,Express,0.0,Low,11015
1678.0,Foggy,Friday,Afternoon,Express,100.3,High,11015
1677.0,Clear,Monday,Morning,Express,129.6,High,11016
1677.0,Foggy,Tuesday,Morning,Express,359.9,High,11016
1677.0,Clear,Sunday,Morning,Express,40.9,High,11016
1631.0,Rainy,Friday,Morning,Express,11.4,Low,11017
1631.0,Clear,Saturday,Evening,Express,45.5,High,11017
1631.0,Rainy,Friday,Afternoon,Express,236.6,High,11017
1634.0,Clear,Friday,Late Night,Express,79.6,High,11018
1634.0,Rainy,Sunday,Afternoon,Express,42.2,High,11018
1634.0,Rainy,Tuesday,Night,Express,127.1,High,11018
1941.0,Clear,Saturday,Morning,Express,139.4,High,11019
1941.0,Rainy,Thursday,Evening,Express,268.5,High,11019
1941.0,Rainy,Sunday,Night,Express,20.6,Medium,11019
1941.0,Foggy,Saturday,Morning,Express,125.6,High,11020
1941.0,Foggy,Monday,Morning,Express,87.1,High,11020
1941.0,Rainy,Sunday,Evening,Express,0.0,Low,11020
1843.0,Clear,Tuesday,Afternoon,Express,90.0,High,11021
1843.0,Clear,Thursday,Late Night,Express,67.2,High,11021
1843.0,Clear,Tuesday,Night,Express,60.9,High,11021
1845.0,Rainy,Tuesday,Night,Express,62.1,High,11022
1845.0,Clear,Sunday,Night,Express,0.0,Low,11022
1845.0,Foggy,Monday,Morning,Express,79.9,High,11022
517.0,Foggy,Sunday,Late Night,Express,36.0,Medium,11023
517.0,Clear,Sunday,Morning,Express,5.7,Low,11023
517.0,Clear,Thursday,Afternoon,Express,39.5,Medium,11023
517.0,Rainy,Tuesday,Night,Express,81.1,High,11024
517.0,Rainy,Tuesday,Morning,Express,253.0,High,11024
517.0,Rainy,Thursday,Morning,Express,105.8,High,11024
545.0,Rainy,Wednesday,Night,Express,72.6,High,11025
545.0,Rainy,Saturday,Late Night,Express,55.9,High,11025
545.0,Foggy,Tuesday,Night,Express,0.0,Low,11025
545.0,Clear,Tuesday,Evening,Express,51.8,High,11026
545.0,Clear,Saturday,Late Night,Express,46.7,High,11026
545.0,Foggy,Saturday,Morning,Express,494.8,High,11026
1281.0,Rainy,Monday,Morning,Express,89.7,High,11027
1281.0,Foggy,Friday,Night,Express,144.5,High,11027
1281.0,Foggy,Monday,Afternoon,Express,97.0,High,11027
1283.0,Foggy,Sunday,Morning,Express,0.0,Low,11028
1283.0,Clear,Friday,Morning,Express,223.9,High,11028
1283.0,Clear,Thursday,Afternoon,Express,117.5,High,11028
517.0,Clear,Tuesday,Late Night,Express,58.7,High,11029
517.0,Foggy,Monday,Late Night,Express,0.0,Low,11029
517.0,Foggy,Thursday,Morning,Express,262.4,High,11029
517.0,Foggy,Friday,Late Night,Express,0.0,Low,11030
517.0,Foggy,Wednesday,Evening,Express,141.3,High,11030
517.0,Clear,Tuesday,Evening,Express,185.2,High,11030
108.0,Rainy,Tuesday,Night,Express,0.0,Low,11031
108.0,Foggy,Thursday,Evening,Express,27.5,Medium,11031
108.0,Rainy,Monday,Morning,Express,82.3,High,11031
108.0,Rainy,Friday,Late Night,Express,20.0,Medium,11032
108.0,Clear,Friday,Morning,Express,0.0,Low,11032
108.0,Clear,Wednesday,Late Night,Express,27.8,Medium,11032
1955.0,Clear,Monday,Evening,Express,0.0,Low,11033
1955.0,Clear,Wednesday,Evening,Express,128.0,High,11033
1955.0,Clear,Sunday,Night,Express,0.0,Low,11033
1953.0,Foggy,Friday,Evening,Express,478.5,High,11034
1953.0,Foggy,Monday,Late Night,Express,8.9,Low,11034
1953.0,Foggy,Wednesday,Late Night,Express,49.0,High,11034
1210.0,Foggy,Tuesday,Morning,Express,225.5,High,11035
1210.0,Rainy,Monday,Morning,Express,0.0,Low,11035
1210.0,Foggy,Tuesday,Late Night,Express,79.3,High,11035
1213.0,Rainy,Friday,Evening,Express,306.3,High,11036
1213.0,Clear,Tuesday,Evening,Express,0.0,Low,11036
1213.0,Foggy,Friday,Evening,Express,170.0,High,11036
1777.0,Rainy,Sunday,Evening,Express,172.8,High,11037
1777.0,Clear,Saturday,Morning,Express,227.8,High,11037
1777.0,Rainy,Monday,Evening,Express,0.0,Low,11037
1777.0,Clear,Sunday,Evening,Express,0.0,Low,11038
1777.0,Clear,Tuesday,Evening,Express,126.6,High,11038
1777.0,Foggy,Friday,Night,Express,165.7,High,11038
1352.0,Foggy,Friday,Night,Express,141.2,High,11039
1352.0,Clear,Monday,Morning,Express,117.1,High,11039
1352.0,Foggy,Friday,Afternoon,Express,27.2,Medium,11039
1353.0,Clear,Friday,Evening,Express,115.8,High,11040
1353.0,Foggy,Thursday,Afternoon,Express,137.9,High,11040
1353.0,Clear,Wednesday,Morning,Express,14.0,Low,11040
1281.0,Rainy,Wednesday,Morning,Express,327.3,High,11041
1281.0,Clear,Saturday,Afternoon,Express,123.9,High,11041
1281.0,Clear,Sunday,Evening,Express,0.0,Low,11041
1283.0,Foggy,Friday,Night,Express,188.3,High,11042
1283.0,Foggy,Tuesday,Afternoon,Express,0.0,Low,11042
1283.0,Clear,Thursday,Afternoon,Express,120.0,High,11042
